Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);sec;Frequency (Hz);activity
100.3088887;-0.2017376423;0.20825004579999998;0.16728973390000001;100;53;Rest
100.3275745;-0.2833414376;0.2235679626;0.11013412480000001;100;53;Rest
100.3462012;-0.296069175;0.1563773155;-0.0696811676;100;53;Rest
100.364887;-0.3367384672;0.052652359010000004;-0.14628028869999998;100;53;Rest
100.3835137;-0.23892059920000003;-0.054136753079999995;-0.2890434265;100;53;Rest
100.40219959999999;0.000138759613;-0.06621456146;-0.5192394257;100;53;Rest
100.42082629999999;0.2027304769;-0.053238868710000005;-0.7825546265000001;100;53;Rest
100.43951209999999;-0.008985221386;0.03738355637;-0.6553659439;100;53;Rest
100.45813879999999;-0.3656029701;0.1278581619;-0.1752271652;100;53;Rest
100.47679509999999;-0.40044918659999995;0.2103505135;0.1575937271;100;53;Rest
100.4954808;-0.2174467444;0.30533456800000003;0.1329364777;100;53;Rest
100.51410770000001;-0.1251049936;0.2998552322;-0.0382938385;100;53;Rest
100.532795;-0.1916102171;0.23999595640000002;-0.11351490019999999;100;53;Rest
100.55142020000001;-0.24396172170000002;0.18921136859999999;-0.09474086761;100;53;Rest
100.570107;-0.1616704166;0.1592593193;-0.1779813766;100;53;Rest
100.5887328;-0.1550661325;0.1544456482;-0.2566995621;100;53;Rest
100.6074186;-0.2792586386;0.1462922096;-0.2894563675;100;53;Rest
100.6260453;-0.37259030340000004;0.1571698189;-0.1393537521;100;53;Rest
100.64473100000001;-0.2524012625;0.1225032806;0.009952545166;100;53;Rest
100.66335790000001;-0.10652893779999999;0.07170009613;0.05547714232999999;100;53;Rest
100.68201409999999;-0.14159849289999998;0.006829261779999999;0.09846115111999999;100;53;Rest
100.7006704;-0.07291519642000001;-0.08972120285;-0.007308006287;100;53;Rest
100.71935620000001;0.06670373678;-0.10753917689999999;-0.2615280151;100;53;Rest
100.7380125;0.15876322980000002;-0.05773735046;-0.42925453189999996;100;53;Rest
100.7566688;0.06531894207000001;0.05104017258;-0.32055377960000003;100;53;Rest
100.77529559999999;-0.1183873117;0.23790168760000002;0.006810188293;100;53;Rest
100.79395179999999;-0.1988340318;0.37303733829999997;0.1972379684;100;53;Rest
100.81260809999999;-0.2027890384;0.4134740829;0.3376674652;100;53;Rest
100.83126440000001;-0.21799480920000003;0.3177700043;0.4150066376;100;53;Rest
100.84992059999999;-0.1795288622;0.1243453026;0.37552833560000004;100;53;Rest
100.86857690000001;-0.1492613256;-0.04500818253;0.1206436157;100;53;Rest
100.88723320000001;-0.13878631589999998;-0.1481356621;-0.1957597733;100;53;Rest
100.9058895;0.06670987606;-0.2574033737;-0.6126766204999999;100;53;Rest
100.9245458;0.08352518082;-0.2904882431;-0.7174530029;100;53;Rest
100.943202;-0.07528781891;-0.2349247932;-0.4903869629;100;53;Rest
100.9618583;-0.1525041461;-0.09284257889;-0.12934303279999998;100;53;Rest
100.98051459999999;0.1074948311;0.1172399521;0.024567604059999998;100;53;Rest
100.9991708;0.2718012333;0.35334777829999997;0.08192539215;100;53;Rest
101.01782709999999;0.1985819936;0.5389142036;0.1113796234;100;53;Rest
101.03648340000001;0.12337750199999999;0.5745394229999999;-0.03201198578;100;53;Rest
101.0551397;0.1597459912;0.43656873700000004;-0.22093772890000002;100;53;Rest
101.07379590000001;0.38178837299999996;0.1597776413;-0.5367097854999999;100;53;Rest
101.0924522;0.6493341327000001;-0.1113886833;-0.7062644958;100;53;Rest
101.1111085;0.7010967731000001;-0.2938408852;-0.6873550415;100;53;Rest
101.1489941;0.7045443057999999;-0.2408323288;0.1375789642;101;53;Rest
101.167997;0.5182507038;-0.05020952225;0.736954689;101;53;Rest
101.18702629999999;0.3053638041;0.08327674866000001;1.126548767;101;53;Rest
101.20608659999999;0.08267134427999999;0.2052731514;1.26560688;101;53;Rest
101.2250849;-0.0540587604;0.1401023865;1.061767578;101;53;Rest
101.2441443;-0.2849060893;-0.03329992294;0.7338781356999999;101;53;Rest
101.26314350000001;0.027947962280000002;-0.5299873352000001;0.1901092529;101;53;Rest
101.2821729;0.43181040880000005;-0.1256518364;-0.8172683716;101;53;Rest
101.3012022;0.1496765316;0.2280182838;-1.203347206;101;53;Rest
101.3202616;-1.074124932;1.016340733;-0.9541978836;101;53;Rest
101.3392609;-2.0965747830000003;1.038541555;0.9442644119;101;53;Rest
101.3583071;-1.7941427230000002;-0.1757965088;2.7381944660000004;101;53;Rest
101.37698990000001;0.31567499039999997;-0.9322128296;0.7522077559999999;101;53;Rest
101.3956167;1.443027616;-0.4294133186;-1.7117834090000001;101;53;Rest
101.41430240000001;0.5957576036;0.22554636;-2.040393829;101;53;Rest
101.4329588;-0.6456083655;0.5184700489;-1.248273849;101;53;Rest
101.4515855;-1.020608425;0.6312777996;-0.8970918655;101;53;Rest
101.4702418;-0.7972545623999999;0.6203753947999999;-0.5037050247;101;53;Rest
101.48889809999999;-0.4603826404;0.43742394450000005;-0.02388954163;101;53;Rest
101.50755440000002;-0.1638165563;0.3165106773;0.33149147030000004;101;53;Rest
101.5262401;0.1245655417;0.295715332;0.10352706910000001;101;53;Rest
101.54486690000002;-0.1792408079;0.1693301201;-0.05240249633999999;101;53;Rest
101.5635232;-0.352101326;0.04290866852;0.1183490753;101;53;Rest
101.58217950000001;-0.116413191;0.07508087158;0.009450912476;101;53;Rest
101.6008652;0.1520724297;0.1389546394;0.05569648743;101;53;Rest
101.61949200000001;0.32284569739999996;0.11782455439999999;0.035771369930000005;101;53;Rest
101.6381777;0.4760754406;0.07875776291;-0.189573288;101;53;Rest
101.656834;0.6030287743;-0.05611515045;-0.3572912216;101;53;Rest
101.67549179999999;0.6032674909;-0.1199526787;-0.254532814;101;53;Rest
101.6941671;0.6744306087;-0.12243080140000001;-0.05935668945;101;53;Rest
101.7127734;0.605127871;-0.1105394363;0.19977378850000002;101;53;Rest
101.7314296;0.2673072219;-0.07272100449;0.4955301285;101;53;Rest
101.7500859;-0.008363991975999999;-0.015007019040000001;0.6439170837;101;53;Rest
101.7687716;-0.03287407756;-0.035383701319999995;0.49392318729999996;101;53;Rest
101.7873985;-0.1092992425;-0.08117723465;0.3015937805;101;53;Rest
101.8060547;-0.1039229333;-0.1286044121;0.10561752320000001;101;53;Rest
101.824711;-0.14814367890000002;-0.1386976242;-0.106965065;101;53;Rest
